

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

184.604  000.174  000.174: sourcing /Users/mario/.vim/bundle/deoplete.nvim/plugin/deoplete.vim
184.925  000.056  000.056: sourcing /Users/mario/.vim/bundle/neoinclude.vim/plugin/neoinclude.vim
185.168  000.033  000.033: sourcing /Users/mario/.vim/bundle/neco-syntax/plugin/necosyntax.vim
185.578  000.096  000.096: sourcing /Users/mario/.vim/bundle/neco-vim/plugin/necovim.vim
186.302  000.123  000.123: sourcing /Users/mario/.vim/bundle/deoplete-ternjs/autoload/ternjs.vim
186.337  000.543  000.420: sourcing /Users/mario/.vim/bundle/deoplete-ternjs/plugin/deoplete-ternjs.vim
187.798  000.238  000.238: sourcing /usr/local/Cellar/neovim/0.7.0/share/nvim/runtime/plugin/gzip.vim
187.916  000.026  000.026: sourcing /usr/local/Cellar/neovim/0.7.0/share/nvim/runtime/plugin/health.vim
188.091  000.091  000.091: sourcing /usr/local/Cellar/neovim/0.7.0/share/nvim/runtime/plugin/man.vim
191.322  000.297  000.297: sourcing /usr/local/Cellar/neovim/0.7.0/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
191.606  003.428  003.131: sourcing /usr/local/Cellar/neovim/0.7.0/share/nvim/runtime/plugin/matchit.vim
191.940  000.244  000.244: sourcing /usr/local/Cellar/neovim/0.7.0/share/nvim/runtime/plugin/matchparen.vim
192.561  000.521  000.521: sourcing /usr/local/Cellar/neovim/0.7.0/share/nvim/runtime/plugin/netrwPlugin.vim
194.839  000.332  000.332: sourcing /usr/local/Cellar/neovim/0.7.0/share/nvim/runtime/autoload/remote/host.vim
195.687  000.400  000.400: sourcing /usr/local/Cellar/neovim/0.7.0/share/nvim/runtime/autoload/remote/define.vim
195.782  002.739  002.008: sourcing /Users/mario/.local/share/nvim/rplugin.vim
195.791  003.120  000.380: sourcing /usr/local/Cellar/neovim/0.7.0/share/nvim/runtime/plugin/rplugin.vim
196.027  000.129  000.129: sourcing /usr/local/Cellar/neovim/0.7.0/share/nvim/runtime/plugin/shada.vim
196.174  000.043  000.043: sourcing /usr/local/Cellar/neovim/0.7.0/share/nvim/runtime/plugin/spellfile.vim
196.440  000.173  000.173: sourcing /usr/local/Cellar/neovim/0.7.0/share/nvim/runtime/plugin/tarPlugin.vim
196.728  000.182  000.182: sourcing /usr/local/Cellar/neovim/0.7.0/share/nvim/runtime/plugin/tohtml.vim
196.866  000.039  000.039: sourcing /usr/local/Cellar/neovim/0.7.0/share/nvim/runtime/plugin/tutor.vim
197.192  000.233  000.233: sourcing /usr/local/Cellar/neovim/0.7.0/share/nvim/runtime/plugin/zipPlugin.vim
198.458  000.486  000.486: sourcing /Users/mario/.vim/bundle/telescope.nvim/plugin/telescope.lua
199.901  000.854  000.854: sourcing /Users/mario/.vim/bundle/nvim-treesitter/plugin/nvim-treesitter.lua
205.138  020.109: loading rtp plugins
205.358  000.220: loading packages
206.499  000.510  000.510: sourcing /Users/mario/.vim/bundle/tabular/autoload/tabular.vim
208.631  003.003  002.494: sourcing /Users/mario/.vim/bundle/tabular/after/plugin/TabularMaps.vim
208.863  000.501: loading after plugins
208.869  000.007: inits 3
212.607  003.737: reading ShaDa
216.971  000.422  000.422: sourcing /Users/mario/.vim/bundle/switch.vim/ftplugin/ruby/switch.vim
217.869  000.402  000.402: sourcing /Users/mario/.vim/bundle/splitjoin.vim/ftplugin/ruby/splitjoin.vim
219.079  000.427  000.427: sourcing /Users/mario/.vim/bundle/sideways.vim/ftplugin/ruby/sideways.vim
435.544  214.578  214.578: sourcing /usr/local/Cellar/neovim/0.7.0/share/nvim/runtime/autoload/provider/ruby.vim
517.065  297.332  082.754: sourcing /Users/mario/.vim/bundle/vim-ruby/ftplugin/ruby.vim
518.246  000.584  000.584: sourcing /usr/local/Cellar/neovim/0.7.0/share/nvim/runtime/ftplugin/ruby.vim
